Referencia de la orden;Fecha de creación;Cliente;Vendedor;Actividades;Total;Estado
ORD-3015;2025-04-22 19:30:01;Catherine Miles;Administrator;;48.34;Orden de venta
ORD-3051;2025-04-22 19:30:01;Melinda Hamilton;Administrator;;35.86;Orden de venta
ORD-3004;2025-04-22 19:30:01;Holmes, Thompson and Murphy;Administrator;;43.66;Orden de venta
ORD-3022;2025-04-22 19:30:01;Lee-West;Administrator;;35.94;Orden de venta
ORD-3002;2025-04-22 19:30:01;Karen Forbes;Administrator;;1.98;Orden de venta
ORD-3033;2025-04-22 19:30:01;Martin PLC;Administrator;;31.79;Orden de venta
ORD-3026;2025-04-22 19:30:01;Gabriel Farmer;Administrator;;6.54;Orden de venta
ORD-3025;2025-04-22 19:30:01;Mary Landry MD;Administrator;;29.62;Orden de venta
ORD-3079;2025-04-22 19:30:01;Danielle Martin;Administrator;;3.81;Orden de venta
ORD-3069;2025-04-22 19:30:01;Haynes, Bailey and Hill;Administrator;;28.62;Orden de venta
ORD-3048;2025-04-22 19:30:01;Jennifer Gregory;Administrator;;29.79;Orden de venta
ORD-3057;2025-04-22 19:30:01;Kennedy Ltd;Administrator;;23.08;Orden de venta
ORD-3081;2025-04-22 19:30:01;Kim Gardner;Administrator;;24.28;Orden de venta
ORD-3037;2025-04-22 19:30:01;Hester LLC;Administrator;;27.78;Orden de venta
ORD-3046;2025-04-22 19:30:01;Cody Maddox;Administrator;;45.85;Orden de venta
ORD-3036;2025-04-22 19:30:01;Brian Berry;Administrator;;20.58;Orden de venta
ORD-3042;2025-04-22 19:30:01;Edward Brown;Administrator;;44.48;Orden de venta
ORD-3029;2025-04-22 19:30:01;Debra Hayes;Administrator;;27.49;Orden de venta
ORD-3050;2025-04-22 19:30:01;Candice Baker;Administrator;;28.07;Orden de venta
ORD-3043;2025-04-22 19:30:01;Marquez PLC;Administrator;;5.52;Orden de venta
ORD-3070;2025-04-22 19:30:01;Eric Patterson;Administrator;;29.78;Orden de venta
ORD-3067;2025-04-22 19:30:01;Clark Inc;Administrator;;44.35;Orden de venta
ORD-3039;2025-04-22 19:30:01;Nichole Jones;Administrator;;13.28;Orden de venta
ORD-3095;2025-04-22 19:30:01;Mary Coleman;Administrator;;48.53;Orden de venta
ORD-3005;2025-04-22 19:30:01;Hill-Clark;Administrator;;28.07;Orden de venta
ORD-3058;2025-04-22 19:30:01;Danielle Martin;Administrator;;12.04;Orden de venta
ORD-3040;2025-04-22 19:30:01;Harrison and Sons;Administrator;;14.29;Orden de venta
ORD-3076;2025-04-22 19:30:01;Brian Berry;Administrator;;42.18;Orden de venta
ORD-3059;2025-04-22 19:30:01;Brian Berry;Administrator;;41.21;Orden de venta
ORD-3061;2025-04-22 19:30:01;Cody Maddox;Administrator;;41.65;Orden de venta
ORD-3034;2025-04-22 19:30:01;Kim Gardner;Administrator;;35.02;Orden de venta
ORD-3018;2025-04-22 19:30:01;Cantrell-Cole;Administrator;;45.58;Orden de venta
ORD-3035;2025-04-22 19:30:01;Garcia-Douglas;Administrator;;49.29;Orden de venta
ORD-3075;2025-04-22 19:30:01;Caitlin Matthews;Administrator;;11.93;Orden de venta
ORD-3019;2025-04-22 19:30:01;Camacho Group;Administrator;;27.49;Orden de venta
ORD-3023;2025-04-22 19:30:01;Jamie Flynn;Administrator;;48.34;Orden de venta
ORD-3010;2025-04-22 19:30:01;Ethan Harrell;Administrator;;17.60;Orden de venta
ORD-3091;2025-04-22 19:30:01;Mary Landry MD;Administrator;;27.88;Orden de venta
ORD-3071;2025-04-22 19:30:01;Candice Baker;Administrator;;5.03;Orden de venta
ORD-3053;2025-04-22 19:30:01;Bradley, Jackson and Kirby;Administrator;;20.38;Orden de venta
ORD-3098;2025-04-22 19:30:01;Brandon Powell;Administrator;;45.91;Orden de venta
ORD-3063;2025-04-22 19:30:01;Catherine Miles;Administrator;;4.50;Orden de venta
ORD-3087;2025-04-22 19:30:01;Daniel Peterson;Administrator;;10.03;Orden de venta
ORD-3014;2025-04-22 19:30:01;Matthew Brooks;Administrator;;80.00;Orden de venta
ORD-2000;2025-04-22 19:30:01;Carroll, White and Cook;Administrator;;40.00;Orden de venta
ORD-2084;2025-04-22 19:30:01;Bradley, Jackson and Kirby;Administrator;;180.00;Orden de venta
ORD-2012;2025-04-22 19:30:01;Melinda Hamilton;Administrator;;10.70;Orden de venta
ORD-2030;2025-04-22 19:30:01;Deborah Cook;Administrator;;14.18;Orden de venta
ORD-2062;2025-04-22 19:30:01;Brittany James;Administrator;;33.67;Orden de venta
ORD-2072;2025-04-22 19:30:01;Hawkins-Carlson;Administrator;;30.96;Orden de venta
ORD-2016;2025-04-22 19:30:01;Maldonado, Pittman and Hall;Administrator;;27.86;Orden de venta
ORD-2078;2025-04-22 19:30:01;Deborah Cook;Administrator;;21.97;Orden de venta
ORD-2020;2025-04-22 19:30:01;Edward Brown;Administrator;;49.87;Orden de venta
ORD-2060;2025-04-22 19:30:01;Matthew Pugh;Administrator;;45.85;Orden de venta
ORD-2009;2025-04-22 19:30:01;Jessica Martin;Administrator;;43.66;Orden de venta
ORD-2007;2025-04-22 19:30:01;Jennifer Morris;Administrator;;44.48;Orden de venta
ORD-2094;2025-04-22 19:30:01;Lisa Erickson;Administrator;;28.50;Orden de venta
ORD-2066;2025-04-22 19:30:01;Allen-Phillips;Administrator;;4.50;Orden de venta
ORD-2003;2025-04-22 19:30:01;Cantrell-Cole;Administrator;;31.79;Orden de venta
ORD-2088;2025-04-22 19:30:01;Amy Anderson DDS;Administrator;;6.54;Orden de venta
ORD-2073;2025-04-22 19:30:01;Haynes, Bailey and Hill;Administrator;;45.32;Orden de venta
ORD-2074;2025-04-22 19:30:01;Cody Maddox;Administrator;;25.68;Orden de venta
ORD-2011;2025-04-22 19:30:01;Matthew Brooks;Administrator;;48.49;Orden de venta
ORD-2097;2025-04-22 19:30:01;Brittany James;Administrator;;42.18;Orden de venta
ORD-2052;2025-04-22 19:30:01;Andrew Sosa;Administrator;;27.86;Orden de venta
ORD-2092;2025-04-22 19:30:01;April Hill;Administrator;;212.27;Orden de venta
ORD-2041;2025-04-22 19:30:01;Everett-Hill;Administrator;;40.57;Orden de venta
ORD-2086;2025-04-22 19:30:01;April Hill;Administrator;;48.85;Orden de venta
ORD-2077;2025-04-22 19:30:01;Andrew Neal;Administrator;;21.82;Orden de venta
ORD-3066;2025-04-22 19:30:01;Allen-Phillips;Administrator;;20.97;Orden de venta
ORD-3024;2025-04-22 19:30:01;Allen-Phillips;Administrator;;57.00;Orden de venta
ORD-3028;2025-04-22 19:30:01;Aaron Robinson;Administrator;;25.61;Orden de venta
ORD-3027;2025-04-22 19:30:01;Aaron Robinson;Administrator;;31.94;Orden de venta
ORD-3044;2025-04-22 19:30:01;Jennifer Gregory;Administrator;;4.71;Orden de venta
ORD-3093;2025-04-22 19:30:01;Joshua Watkins;Administrator;;;Cotización
ORD-3032;2025-04-22 19:30:01;Joshua Watkins;Administrator;;;Cotización
ORD-3054;2025-04-22 19:30:01;Cody Maddox;Administrator;;;Cotización
ORD-3001;2025-04-22 19:30:01;Andrew Sosa;Administrator;;;Cotización
ORD-3038;2025-04-22 19:30:01;Kim Gardner;Administrator;;;Cotización
ORD-3013;2025-04-22 19:30:01;Edward Brown;Administrator;;;Cotización
ORD-3077;2025-04-22 19:30:01;Andrew Neal;Administrator;;;Cotización
ORD-3086;2025-04-22 19:30:01;April Hill;Administrator;;;Cotización
ORD-3041;2025-04-22 19:30:01;Everett-Hill;Administrator;;;Cotización
ORD-3092;2025-04-22 19:30:01;April Hill;Administrator;;;Cotización
ORD-3052;2025-04-22 19:30:01;Andrew Sosa;Administrator;;;Cotización
ORD-3097;2025-04-22 19:30:01;Brittany James;Administrator;;;Cotización
ORD-3011;2025-04-22 19:30:01;Matthew Brooks;Administrator;;;Cotización
ORD-3074;2025-04-22 19:30:01;Cody Maddox;Administrator;;;Cotización
ORD-3073;2025-04-22 19:30:01;Haynes, Bailey and Hill;Administrator;;;Cotización
ORD-3088;2025-04-22 19:30:01;Amy Anderson DDS;Administrator;;;Cotización
ORD-3003;2025-04-22 19:30:01;Cantrell-Cole;Administrator;;;Cotización
ORD-3094;2025-04-22 19:30:01;Lisa Erickson;Administrator;;;Cotización
ORD-3007;2025-04-22 19:30:01;Jennifer Morris;Administrator;;;Cotización
ORD-3009;2025-04-22 19:30:01;Jessica Martin;Administrator;;;Cotización
ORD-3060;2025-04-22 19:30:01;Matthew Pugh;Administrator;;;Cotización
ORD-3020;2025-04-22 19:30:01;Edward Brown;Administrator;;;Cotización
ORD-3078;2025-04-22 19:30:01;Deborah Cook;Administrator;;;Cotización
ORD-3016;2025-04-22 19:30:01;Maldonado, Pittman and Hall;Administrator;;;Cotización
ORD-3072;2025-04-22 19:30:01;Hawkins-Carlson;Administrator;;;Cotización
ORD-3062;2025-04-22 19:30:01;Brittany James;Administrator;;;Cotización
ORD-3030;2025-04-22 19:30:01;Deborah Cook;Administrator;;;Cotización
ORD-3012;2025-04-22 19:30:01;Melinda Hamilton;Administrator;;;Cotización
ORD-3084;2025-04-22 19:30:01;Bradley, Jackson and Kirby;Administrator;;;Cotización
ORD-3000;2025-04-22 19:30:01;Carroll, White and Cook;Administrator;;;Cotización
ORD-3000;2025-04-22 18:56:58;Carroll, White and Cook;Administrator;;19.35;Orden de venta
ORD-3084;2025-04-22 18:56:58;Bradley, Jackson and Kirby;Administrator;;28.07;Orden de venta
ORD-3012;2025-04-22 18:56:58;Melinda Hamilton;Administrator;;20.97;Orden de venta
ORD-3030;2025-04-22 18:56:58;Deborah Cook;Administrator;;38.70;Orden de venta
ORD-3062;2025-04-22 18:56:58;Brittany James;Administrator;;27.52;Orden de venta
ORD-3094;2025-04-22 18:56:58;Lisa Erickson;Administrator;;;Cotización
ORD-3088;2025-04-22 18:56:58;Amy Anderson DDS;Administrator;;;Cotización
ORD-3097;2025-04-22 18:56:58;Brittany James;Administrator;;;Cotización
ORD-3092;2025-04-22 18:56:58;April Hill;Administrator;;;Cotización
ORD-3086;2025-04-22 18:56:58;April Hill;Administrator;;;Cotización
ORD-3093;2025-04-22 18:56:58;Joshua Watkins;Administrator;;;Cotización
ORD-3089;2025-04-22 18:56:58;Melissa Ross;Administrator;;;Cotización
ORD-3090;2025-04-22 18:56:58;Lee-West;Administrator;;;Cotización
ORD-3096;2025-04-22 18:56:58;Mary Landry MD;Administrator;;;Cotización
ORD-3099;2025-04-22 18:56:58;Ann Vang;Administrator;;;Cotización
ORD-3085;2025-04-22 18:56:58;Martin PLC;Administrator;;;Cotización
ORD-3095;2025-04-22 18:56:58;Mary Coleman;Administrator;;;Cotización
ORD-3091;2025-04-22 18:56:58;Mary Landry MD;Administrator;;;Cotización
ORD-3098;2025-04-22 18:56:58;Brandon Powell;Administrator;;;Cotización
ORD-3087;2025-04-22 18:56:58;Daniel Peterson;Administrator;;;Cotización
